model,scale,params_b,family,anomaly_discrimination,defect_classification,defect_localization,defect_description,defect_analysis,object_classification,object_analysis,average
Random Chance,-,,baseline,50.00,25.00,25.00,25.00,25.00,25.00,25.00,28.57
Human (expert),-,,human,95.24,75.00,92.31,83.33,94.20,86.11,80.37,86.65
Human (ordinary),-,,human,86.90,66.25,85.58,71.25,81.52,89.58,69.72,78.69
Claude-3.5-sonnet,-,,commercial,60.14,60.14,48.81,67.13,79.11,85.19,79.83,68.36
Gemini-1.5-flash,-,,commercial,58.58,54.70,49.10,66.53,82.24,91.47,79.71,68.90
Gemini-1.5-pro,-,,commercial,68.63,60.12,58.56,70.38,82.46,89.20,82.25,73.09
GPT-4o-mini,-,,commercial,64.33,48.58,38.75,63.68,80.40,88.56,79.74,66.29
GPT-4o,-,,commercial,68.63,65.80,55.62,73.21,83.41,94.98,82.80,74.92
AnomalyGPT,7B,7,open_source,65.57,27.49,27.97,36.86,32.11,29.84,35.82,36.52
Qwen-VL-Chat,7B,7,open_source,53.65,31.33,28.62,41.66,63.99,74.46,67.94,51.66
LLaVA-1.5 (7B),7B,7,open_source,51.33,37.04,36.62,50.60,69.79,68.29,69.53,54.74
Cambrian-1,8B,8,open_source,55.60,32.53,35.39,43.46,49.14,78.15,67.22,51.64
SPHINX,7B,7,open_source,53.13,33.93,52.27,50.96,71.23,85.07,73.10,59.96
LLaVA-NEXT-Interleave,7B,7,open_source,57.64,33.79,47.72,51.84,67.93,81.39,74.91,59.32
InternLM-XComposer2-VL,7B,7,open_source,55.85,41.80,48.27,57.52,76.60,74.34,77.75,61.73
LLaVA-OneVision,7B,7,open_source,51.77,46.13,41.85,62.19,69.73,90.31,80.93,63.27
MiniCPM-V2.6,8B,8,open_source,57.31,49.22,43.28,65.86,75.24,92.02,80.80,66.25
InternVL2 (8B),8B,8,open_source,59.97,43.85,47.91,57.60,78.10,74.18,80.37,63.14
LLaVA-1.5 (13B),13B,13,open_source,49.96,38.78,46.17,58.17,73.09,73.62,70.98,58.68
LLaVA-NeXT (34B),34B,34,open_source,57.92,48.79,52.87,71.34,80.28,81.12,77.80,67.16
InternVL2 (76B),76B,76,open_source,68.25,54.22,56.66,66.30,80.47,86.40,82.92,70.75
