model,scale,setting,anomaly_discrimination,defect_classification,defect_localization,defect_description,defect_analysis,average
Gemini-1.5-flash,-,0-shot,58.43,49.93,53.11,63.07,82.83,68.58
Gemini-1.5-flash,-,1-shot+,62.22,52.29,50.99,65.52,83.41,69.59
LLaVA-1.5 (7B),7B,0-shot,50.79,36.94,35.94,50.86,70.45,54.91
LLaVA-1.5 (7B),7B,1-shot+,50.99,37.14,35.63,50.75,70.01,54.66
LLaVA-1.5 (13B),13B,0-shot,49.98,38.77,48.64,57.65,72.47,58.58
LLaVA-1.5 (13B),13B,1-shot+,49.97,39.44,45.22,58.64,73.28,58.55
LLaVA-NeXT (34B),34B,0-shot,60.25,51.57,55.49,71.62,80.43,68.45
LLaVA-NeXT (34B),34B,1-shot+,56.80,48.87,52.80,70.82,80.00,67.16
LLaVA-NEXT-Interleave,7B,0-shot,58.39,36.98,48.98,51.51,66.64,60.04
LLaVA-NEXT-Interleave,7B,1-shot+,57.71,35.87,48.11,52.40,67.88,59.82
InternLM-XComposer2-VL,7B,0-shot,58.33,43.10,54.56,57.84,75.30,62.78
InternLM-XComposer2-VL,7B,1-shot+,55.87,42.76,49.68,58.03,76.52,61.99
InternVL2 (40B),40B,0-shot,66.37,48.54,53.39,64.05,79.01,69.23
InternVL2 (40B),40B,1-shot+,67.69,51.15,55.81,66.81,79.83,70.71
InternVL2 (76B),76B,0-shot,64.30,51.19,54.20,63.46,79.92,69.41
InternVL2 (76B),76B,1-shot+,69.23,54.69,57.20,66.75,80.46,71.31
