condition,corruption,severity,strategy,subtask,accuracy,n
clean,clean,0,none,Anomaly Detection,55.55555555555556,558
clean,clean,0,none,Defect Analysis,76.93693693693695,555
clean,clean,0,none,Defect Classification,45.765765765765764,555
clean,clean,0,none,Defect Description,72.61261261261261,555
clean,clean,0,none,Defect Localization,47.74774774774775,555
clean,clean,0,none,Object Analysis,82.52252252252252,555
clean,clean,0,none,Object Classification,89.22800718132855,557
clean,clean,0,none,Object Details,74.05405405405405,555
clean,clean,0,none,Object Structure,84.32432432432432,555
corr_gaussian_noise,gaussian_noise,4,none,Anomaly Detection,53.76344086021505,558
corr_gaussian_noise,gaussian_noise,4,none,Defect Analysis,87.38738738738738,555
corr_gaussian_noise,gaussian_noise,4,none,Defect Classification,44.14414414414414,555
corr_gaussian_noise,gaussian_noise,4,none,Defect Description,74.05405405405405,555
corr_gaussian_noise,gaussian_noise,4,none,Defect Localization,50.630630630630634,555
corr_gaussian_noise,gaussian_noise,4,none,Object Analysis,67.56756756756756,555
corr_gaussian_noise,gaussian_noise,4,none,Object Classification,77.55834829443447,557
corr_gaussian_noise,gaussian_noise,4,none,Object Details,67.2072072072072,555
corr_gaussian_noise,gaussian_noise,4,none,Object Structure,77.47747747747748,555
corr_motion_blur,motion_blur,4,none,Anomaly Detection,55.19713261648745,558
corr_motion_blur,motion_blur,4,none,Defect Analysis,86.12612612612612,555
corr_motion_blur,motion_blur,4,none,Defect Classification,60.54054054054055,555
corr_motion_blur,motion_blur,4,none,Defect Description,72.07207207207207,555
corr_motion_blur,motion_blur,4,none,Defect Localization,53.153153153153156,555
corr_motion_blur,motion_blur,4,none,Object Analysis,65.04504504504504,555
corr_motion_blur,motion_blur,4,none,Object Classification,69.83842010771993,557
corr_motion_blur,motion_blur,4,none,Object Details,62.34234234234234,555
corr_motion_blur,motion_blur,4,none,Object Structure,70.63063063063063,555
tta_gaussian_noise,gaussian_noise,4,tta_restore,Anomaly Detection,53.76344086021505,558
tta_gaussian_noise,gaussian_noise,4,tta_restore,Defect Analysis,87.74774774774775,555
tta_gaussian_noise,gaussian_noise,4,tta_restore,Defect Classification,43.6036036036036,555
tta_gaussian_noise,gaussian_noise,4,tta_restore,Defect Description,73.87387387387388,555
tta_gaussian_noise,gaussian_noise,4,tta_restore,Defect Localization,49.549549549549546,555
tta_gaussian_noise,gaussian_noise,4,tta_restore,Object Analysis,67.02702702702703,555
tta_gaussian_noise,gaussian_noise,4,tta_restore,Object Classification,78.81508078994614,557
tta_gaussian_noise,gaussian_noise,4,tta_restore,Object Details,69.009009009009,555
tta_gaussian_noise,gaussian_noise,4,tta_restore,Object Structure,76.75675675675676,555
tta_motion_blur,motion_blur,4,tta_restore,Anomaly Detection,54.3010752688172,558
tta_motion_blur,motion_blur,4,tta_restore,Defect Analysis,86.84684684684684,555
tta_motion_blur,motion_blur,4,tta_restore,Defect Classification,61.62162162162163,555
tta_motion_blur,motion_blur,4,tta_restore,Defect Description,71.53153153153153,555
tta_motion_blur,motion_blur,4,tta_restore,Defect Localization,56.57657657657658,555
tta_motion_blur,motion_blur,4,tta_restore,Object Analysis,62.70270270270271,555
tta_motion_blur,motion_blur,4,tta_restore,Object Classification,66.24775583482945,557
tta_motion_blur,motion_blur,4,tta_restore,Object Details,62.16216216216216,555
tta_motion_blur,motion_blur,4,tta_restore,Object Structure,70.09009009009009,555
