model,subtask,accuracy,n
Qwen3-VL-2B,Anomaly Detection,61.3,282
Qwen3-VL-2B,Defect Analysis,82.0,278
Qwen3-VL-2B,Defect Classification,40.8,277
Qwen3-VL-2B,Defect Description,71.1,277
Qwen3-VL-2B,Defect Localization,47.5,278
Qwen3-VL-2B,Object Analysis,82.3,277
Qwen3-VL-2B,Object Classification,94.89999999999999,277
Qwen3-VL-2B,Object Details,79.80000000000001,277
Qwen3-VL-2B,Object Structure,81.2,277
Gemma-4-E2B,Anomaly Detection,50.72,282
Gemma-4-E2B,Defect Analysis,75.63,278
Gemma-4-E2B,Defect Classification,46.949999999999996,277
Gemma-4-E2B,Defect Description,63.9,277
Gemma-4-E2B,Defect Localization,26.35,278
Gemma-4-E2B,Object Analysis,71.84,277
Gemma-4-E2B,Object Classification,73.29,277
Gemma-4-E2B,Object Details,71.67999999999999,277
Gemma-4-E2B,Object Structure,67.86999999999999,277
Qwen2.5-VL-3B,Anomaly Detection,41.730000000000004,282
Qwen2.5-VL-3B,Defect Analysis,77.42,278
Qwen2.5-VL-3B,Defect Classification,51.24999999999999,277
Qwen2.5-VL-3B,Defect Description,62.45,277
Qwen2.5-VL-3B,Defect Localization,51.25999999999999,278
Qwen2.5-VL-3B,Object Analysis,83.39,277
Qwen2.5-VL-3B,Object Classification,90.61,277
Qwen2.5-VL-3B,Object Details,72.04,277
Qwen2.5-VL-3B,Object Structure,79.06,277
Gemma-4-E4B,Anomaly Detection,44.96,282
Gemma-4-E4B,Defect Analysis,75.99000000000001,278
Gemma-4-E4B,Defect Classification,53.410000000000004,277
Gemma-4-E4B,Defect Description,65.34,277
Gemma-4-E4B,Defect Localization,31.41,278
Gemma-4-E4B,Object Analysis,82.67,277
Gemma-4-E4B,Object Classification,80.87,277
Gemma-4-E4B,Object Details,75.27000000000001,277
Gemma-4-E4B,Object Structure,80.51,277
