model,subtask,draft_manuscript,measured_artefact,delta,agrees
Qwen3-VL-2B-Instruct,Object Classification,89.21,94.9,5.69,False
Qwen3-VL-2B-Instruct,Object Structure,84.53,81.2,-3.33,False
Qwen3-VL-2B-Instruct,Object Analysis,82.67,82.3,-0.37,True
Qwen3-VL-2B-Instruct,Defect Description,72.66,71.1,-1.56,False
Qwen3-VL-2B-Instruct,Object Details,74.1,79.8,5.7,False
Qwen3-VL-2B-Instruct,Defect Analysis,76.98,82.0,5.02,False
Qwen3-VL-2B-Instruct,Anomaly Detection,55.56,61.3,5.74,False
Qwen3-VL-2B-Instruct,Defect Localization,47.65,47.5,-0.15,True
Qwen3-VL-2B-Instruct,Defect Classification,45.85,40.8,-5.05,False
Qwen/Qwen2.5-VL-3B-Instruct,Anomaly Detection,53.41,41.73,-11.68,False
Qwen/Qwen2.5-VL-3B-Instruct,Defect Analysis,74.82,77.42,2.6,False
Qwen/Qwen2.5-VL-3B-Instruct,Defect Classification,43.68,51.25,7.57,False
Qwen/Qwen2.5-VL-3B-Instruct,Defect Description,70.5,62.45,-8.05,False
Qwen/Qwen2.5-VL-3B-Instruct,Defect Localization,51.26,51.26,-0.0,True
Qwen/Qwen2.5-VL-3B-Instruct,Object Analysis,78.7,83.39,4.69,False
Qwen/Qwen2.5-VL-3B-Instruct,Object Classification,87.05,90.61,3.56,False
Qwen/Qwen2.5-VL-3B-Instruct,Object Details,69.42,72.04,2.62,False
Qwen/Qwen2.5-VL-3B-Instruct,Object Structure,80.22,79.06,-1.16,False
google/gemma-4-E4B-it,Anomaly Detection,54.12,44.96,-9.16,False
google/gemma-4-E4B-it,Defect Analysis,71.58,75.99,4.41,False
google/gemma-4-E4B-it,Defect Classification,42.96,53.41,10.45,False
google/gemma-4-E4B-it,Defect Description,66.91,65.34,-1.57,False
google/gemma-4-E4B-it,Defect Localization,31.41,31.41,0.0,True
google/gemma-4-E4B-it,Object Analysis,77.98,82.67,4.69,False
google/gemma-4-E4B-it,Object Classification,86.33,80.87,-5.46,False
google/gemma-4-E4B-it,Object Details,70.14,75.27,5.13,False
google/gemma-4-E4B-it,Object Structure,80.58,80.51,-0.07,True
google/gemma-4-E2B-it,Anomaly Detection,51.25,50.72,-0.53,False
google/gemma-4-E2B-it,Defect Analysis,68.35,75.63,7.28,False
google/gemma-4-E2B-it,Defect Classification,36.46,46.95,10.49,False
google/gemma-4-E2B-it,Defect Description,63.31,63.9,0.59,False
google/gemma-4-E2B-it,Defect Localization,26.35,26.35,0.0,True
google/gemma-4-E2B-it,Object Analysis,72.2,71.84,-0.36,True
google/gemma-4-E2B-it,Object Classification,84.17,73.29,-10.88,False
google/gemma-4-E2B-it,Object Details,64.75,71.68,6.93,False
google/gemma-4-E2B-it,Object Structure,67.99,67.87,-0.12,True
